Format version	Start date	End date	Sender	Recipient	Aggregator	Disclaimer
1	10/01/12	10/31/12	Spotify	The Recording Consort	The Recording Consort	Confidential
Country	Label	Product	URI	UPC	EAN	ISRC	Track name	Artist name	Composer name	Album name	Quantity	USD Payable
FR	Cantus Records	A	spotify:track:4VVo0kyJcnkTbnr5wckUTC		7502258850107	MX2831000180	Ungarescha	Christian Mendoze, Giorgio Mainerio, Musica Antiqua Provence, Musica Antiqua Provence	N/A	Schiarazula Marazula: Italian Dances of the Renaissance	1	0.001854945054945054945054945055
ES	Cantus Records	A	spotify:track:4VVo0kyJcnkTbnr5wckUTC		7502258850107	MX2831000180	Ungarescha	Christian Mendoze, Giorgio Mainerio, Musica Antiqua Provence, Musica Antiqua Provence	N/A	Schiarazula Marazula: Italian Dances of the Renaissance	4	0.01554915526950925181013676589
NL	Cantus Records	A	spotify:track:4VVo0kyJcnkTbnr5wckUTC		7502258850107	MX2831000180	Ungarescha	Christian Mendoze, Giorgio Mainerio, Musica Antiqua Provence, Musica Antiqua Provence	N/A	Schiarazula Marazula: Italian Dances of the Renaissance	1	0.001513934426229508196721311475
SE	Cantus Records	U	spotify:track:4VVo0kyJcnkTbnr5wckUTC		7502258850107	MX2831000180	Ungarescha	Christian Mendoze, Giorgio Mainerio, Musica Antiqua Provence, Musica Antiqua Provence	N/A	Schiarazula Marazula: Italian Dances of the Renaissance	1	0.00498
US	Cantus Records	P	spotify:track:4VVo0kyJcnkTbnr5wckUTC		7502258850107	MX2831000180	Ungarescha	Christian Mendoze, Giorgio Mainerio, Musica Antiqua Provence, Musica Antiqua Provence	N/A	Schiarazula Marazula: Italian Dances of the Renaissance	2	0.01516849816849816849816849817
US	Cantus Records	A	spotify:track:4VVo0kyJcnkTbnr5wckUTC		7502258850107	MX2831000180	Ungarescha	Christian Mendoze, Giorgio Mainerio, Musica Antiqua Provence, Musica Antiqua Provence	N/A	Schiarazula Marazula: Italian Dances of the Renaissance	2	0.002085969084423305588585017836
ES	Quindecim Recordings	A	spotify:track:4Z6x2AOdnt8MD8DthSy869		7509708031079	MX2831200080	Symphony Wq 183/1: I. Allegro di molto	Horacio Franco, Capella Puebla, Carl Philipp Emmanuel Bach	N/A	Capella Puebla	1	0.003887288817377312952534191472
ES	iTinerant Classics	A	spotify:track:5WTxKlxFzc9AVG6Cfwtb8d		7502258850329	MX2831000795	Symphony No. 5 Op. 67: III Scherzo - Allegro	YOA Orchestra of the Americas, Ludwig van Beethoven	N/A	Ludwig Van Beethoven: Symphony No. 5 Op. 67 - Edward Elgar : Enigma Variation IX (Adagio) "Nimrod" - Leonard Bernstein: Candide Overture	3	0.01166186645213193885760257442
GB	iTinerant Classics	P	spotify:track:5WTxKlxFzc9AVG6Cfwtb8d		7502258850329	MX2831000795	Symphony No. 5 Op. 67: III Scherzo - Allegro	YOA Orchestra of the Americas, Ludwig van Beethoven	N/A	Ludwig Van Beethoven: Symphony No. 5 Op. 67 - Edward Elgar : Enigma Variation IX (Adagio) "Nimrod" - Leonard Bernstein: Candide Overture	3	0.03768894230769230769230769231
FI	iTinerant Classics	P	spotify:track:5WTxKlxFzc9AVG6Cfwtb8d		7502258850329	MX2831000795	Symphony No. 5 Op. 67: III Scherzo - Allegro	YOA Orchestra of the Americas, Ludwig van Beethoven	N/A	Ludwig Van Beethoven: Symphony No. 5 Op. 67 - Edward Elgar : Enigma Variation IX (Adagio) "Nimrod" - Leonard Bernstein: Candide Overture	1	0.011778125
ES	Quindecim Recordings	A	spotify:track:61Pg7QkRuwytbrLPYVSSON		7509708031079	MX2831200086	Concerto Grosso Op.3 No.2: IV. Poco allegreto	Horacio Franco, Capella Puebla, Georg Friederick Händel	N/A	Capella Puebla	11	0.04276017699115044247787610619
SE	Cantus Records	P	spotify:track:62evyinwpE89uRN9X5xj87		7502258850817	MX2831201472	Missa Galeazescha: Loco Sanctus. O Maria	La Pifarescha, Paolo da Col, La Reverdie, Liuwe Tamminga, Ensemble Pian & Forte, Loyset Compère	N/A	Loyset Compère: Missa Galeazescha	4	0.03277828054298642533936651584
ES	Quindecim Recordings	U	spotify:track:6pOsynQvJjJmPN0nLWWhaf		7509708970224	MX2831000119	Cuarteto De Cuerdas No.2 En La Menor Op.51 No.2: I. Allegro Non Troppo	Cuarteto de Cuerdas Ruso-Americano, Johannes Brahms	N/A	Johannes Brahms: String Quartets	1	0.003887350054525627044711014177
ES	Quindecim Recordings	P	spotify:track:6pOsynQvJjJmPN0nLWWhaf		7509708970224	MX2831000119	Cuarteto De Cuerdas No.2 En La Menor Op.51 No.2: I. Allegro Non Troppo	Cuarteto de Cuerdas Ruso-Americano, Johannes Brahms	N/A	Johannes Brahms: String Quartets	2	0.007774849267872523686477174850
ES	Quindecim Recordings	A	spotify:track:6pOsynQvJjJmPN0nLWWhaf		7509708970224	MX2831000119	Cuarteto De Cuerdas No.2 En La Menor Op.51 No.2: I. Allegro Non Troppo	Cuarteto de Cuerdas Ruso-Americano, Johannes Brahms	N/A	Johannes Brahms: String Quartets	1	0.003887288817377312952534191472
ES	Videophonic	P	spotify:track:6CxzAIshsBsVitbSrbu75l		7502258850688	MX2831001213	Gina	Alejandro Corona, Mario Ruiz Armengol	N/A	33 Piezas para niños	1	0.003887424633936261843238587425
ES	Videophonic	U	spotify:track:6CxzAIshsBsVitbSrbu75l		7502258850688	MX2831001213	Gina	Alejandro Corona, Mario Ruiz Armengol	N/A	33 Piezas para niños	1	0.003887350054525627044711014177
ES	Tlen Huicani	A	spotify:track:74HWEm3Vb86zbfsZyZrDDl		7502258850695	MX2831001236	Si la Virgen fuera andina	Tlen Huicani, Luis Morales Bance - Isabel Herrera	N/A	Navidad con Tlen-Huicani	2	0.007774577634754625905068382944
ES	Tlen Huicani	T	spotify:track:74HWEm3Vb86zbfsZyZrDDl		7502258850695	MX2831001236	Si la Virgen fuera andina	Tlen Huicani, Luis Morales Bance - Isabel Herrera	N/A	Navidad con Tlen-Huicani	1	0.01668181818181818181818181818
US	Tlen Huicani	A	spotify:track:74HWEm3Vb86zbfsZyZrDDl		7502258850695	MX2831001236	Si la Virgen fuera andina	Tlen Huicani, Luis Morales Bance - Isabel Herrera	N/A	Navidad con Tlen-Huicani	5	0.005214922711058263971462544590
ES	Quindecim Recordings	A	spotify:track:76EAJ9elsdgEqutFe6TVUj		7509708051596	MX2831200227	¡Quién Cabalgará El Caballo!	Rufino Montero, Solistas del Instituto Nacional de Bellas Artes, Carlos Jiménez Mabarak	N/A	Carlos Jiménez Mabarak: Obras Corales	1	0.003887288817377312952534191472
ES	Quindecim Recordings	A	spotify:track:0kSv2srgjV5EnxG3CA15LZ		7509708970163	MX2831201599	Los Ymposibles	Isabelle Villey, Códice de Saldívar IV	N/A	La Guitarra en el México Barroco	1	0.003887288817377312952534191472
