video_id,custom_id,isrc,grid,day,country,content_type,content_policy,embed_views,watch_views,youtube_sold_revenue,partner_sold_revenue,afv_revenue,amount_payable
5uu6B_5lV24,,,,20120622,ES,commercial,share,0,3,0.00628,0,0,0.002543
5uu6B_5lV24,,,,20120622,US,commercial,share,0,1,0,0,0,0
5uu6B_5lV24,,,,20120623,RU,commercial,share,0,1,0.00157,0,0,0.000635
5uu6B_5lV24,,,,20120624,SE,commercial,free,0,1,0,0,0,0
5uu6B_5lV24,,,,20120626,ES,commercial,share,0,1,0.00254,0,0,0.001028
5uu6B_5lV24,,,,20120627,ES,commercial,share,0,2,0,0,0,0
5uu6B_5lV24,,,,20120628,ES,commercial,share,0,2,0,0,0,0
5uu6B_5lV24,,,,20120628,PY,commercial,free,0,3,0,0,0,0
5uu6B_5lV24,,,,20120630,DE,commercial,free,0,1,0,0,0,0
5uu6B_5lV24,,,,20120630,ES,commercial,share,0,2,0,0,0,0
5uu6B_5lV24,,,,20120630,RO,commercial,free,0,1,0,0,0,0
5uu6B_5lV24,,,,20120630,US,commercial,share,0,1,0,0,0,0
IzQS7PCgf0E,IzQS7PCgf0E,,,20120601,ES,commercial,share,0,1,0.00155,0,0,0.000627
IzQS7PCgf0E,IzQS7PCgf0E,,,20120601,MX,commercial,share,0,2,0.0031,0,0,0.001255
IzQS7PCgf0E,IzQS7PCgf0E,,,20120602,MX,commercial,share,0,4,0.00608,0,0,0.002462
IzQS7PCgf0E,IzQS7PCgf0E,,,20120604,ES,commercial,share,0,1,0.00149,0,0,0.000603
IzQS7PCgf0E,IzQS7PCgf0E,,,20120610,MX,commercial,share,0,1,0,0,0,0
IzQS7PCgf0E,IzQS7PCgf0E,,,20120611,ES,commercial,share,0,4,0.00548,0,0,0.002219
IzQS7PCgf0E,IzQS7PCgf0E,,,20120613,MX,commercial,share,0,1,0.00179,0,0,0.000724
IzQS7PCgf0E,IzQS7PCgf0E,,,20120614,ES,commercial,share,0,1,0.0024,0,0,0.000972
IzQS7PCgf0E,IzQS7PCgf0E,,,20120617,ES,commercial,share,0,1,0,0,0,0
IzQS7PCgf0E,IzQS7PCgf0E,,,20120618,ES,commercial,share,0,2,0.00187,0,0,0.000757
IzQS7PCgf0E,IzQS7PCgf0E,,,20120620,ES,commercial,share,1,0,0,0,0,0
IzQS7PCgf0E,IzQS7PCgf0E,,,20120621,ES,commercial,share,0,2,0.0031,0,0,0.001255
IzQS7PCgf0E,IzQS7PCgf0E,,,20120623,AR,commercial,share,0,1,0.00157,0,0,0.000635
IzQS7PCgf0E,IzQS7PCgf0E,,,20120623,ES,commercial,share,1,0,0,0,0,0
IzQS7PCgf0E,IzQS7PCgf0E,,,20120625,ES,commercial,share,0,3,0.00516,0,0,0.002089
IzQS7PCgf0E,IzQS7PCgf0E,,,20120626,ES,commercial,share,0,1,0,0,0,0
IzQS7PCgf0E,IzQS7PCgf0E,,,20120627,ES,commercial,share,0,1,0,0,0,0
ObKFBzZDGUg,ObKFBzZDGUg,,,20120601,ES,commercial,share,2,0,0,0,0,0
ObKFBzZDGUg,ObKFBzZDGUg,,,20120601,MX,commercial,share,0,1,0.00155,0,0,0.000627
ObKFBzZDGUg,ObKFBzZDGUg,,,20120601,ZZ,commercial,share,0,1,0.00155,0,0,0.000627
ObKFBzZDGUg,ObKFBzZDGUg,,,20120602,RO,commercial,share,0,1,0,0,0,0
ObKFBzZDGUg,ObKFBzZDGUg,,,20120603,AR,commercial,share,0,1,0.00155,0,0,0.000627
ObKFBzZDGUg,ObKFBzZDGUg,,,20120603,ES,commercial,share,0,0,0,0,0,0
ObKFBzZDGUg,ObKFBzZDGUg,,,20120603,RO,commercial,share,0,1,0,0,0,0
ObKFBzZDGUg,ObKFBzZDGUg,,,20120604,ES,commercial,share,0,2,0.00298,0,0,0.001206
ObKFBzZDGUg,ObKFBzZDGUg,,,20120604,MX,commercial,share,0,1,0.00149,0,0,0.000603
ObKFBzZDGUg,ObKFBzZDGUg,,,20120604,RO,commercial,share,1,0,0,0,0,0
ObKFBzZDGUg,ObKFBzZDGUg,,,20120605,ES,commercial,share,0,5,0.00715,0,0,0.002895
ObKFBzZDGUg,ObKFBzZDGUg,,,20120605,MX,commercial,share,0,1,0.00143,0,0,0.000579
ObKFBzZDGUg,ObKFBzZDGUg,,,20120606,ES,commercial,share,0,1,0.00144,0,0,0.000583
ObKFBzZDGUg,ObKFBzZDGUg,,,20120606,MX,commercial,share,0,1,0.00144,0,0,0.000583
ObKFBzZDGUg,ObKFBzZDGUg,,,20120607,DE,commercial,share,0,2,0,0,0,0
ObKFBzZDGUg,ObKFBzZDGUg,,,20120607,ES,commercial,share,0,8,0.028751,0,0,0.011643
ObKFBzZDGUg,ObKFBzZDGUg,,,20120608,BR,commercial,share,0,1,0.00135,0,0,0.000546
ObKFBzZDGUg,ObKFBzZDGUg,,,20120608,ES,commercial,share,0,2,0.0027,0,0,0.001093
ObKFBzZDGUg,ObKFBzZDGUg,,,20120610,US,commercial,share,0,1,0.00133,0,0,0.000718
ObKFBzZDGUg,ObKFBzZDGUg,,,20120611,ES,commercial,share,0,1,0.00137,0,0,0.000554
ObKFBzZDGUg,ObKFBzZDGUg,,,20120611,MX,commercial,share,0,1,0.00137,0,0,0.000554
ObKFBzZDGUg,ObKFBzZDGUg,,,20120612,ES,commercial,share,0,0,0,0,0,0
